"","Date_time","Mean Temperature","Year","Season","Hatchery Summer Steelhead","Wild Summer Steelhead","Summer Steelhead RM","Summer Steelhead LM","Hatchery Spring Chinook","Wild Spring Chinook","Spring Chinook RM","Spring Chinook LM","No Mark Sockeye","Sockeye RM","Sockeye LM","Fall Chinook","Bull Trout","Rainbow Trout","Total","Month"
"67",2014-06-13,12.8,2014,"Spring",NA,NA,NA,NA,12,NA,1,NA,NA,NA,NA,NA,NA,12,25,"June"
"68",2014-06-16,13.2,2014,"Spring",NA,NA,NA,NA,14,2,NA,NA,NA,NA,NA,NA,NA,24,40,"June"
"69",2014-06-18,12.9,2014,"Spring",NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,8,14,"June"
"70",2014-06-19,12.7,2014,"Spring",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"June"
"71",2014-06-23,12.6,2014,"Summer",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,6,9,"June"
"72",2014-06-25,12.1,2014,"Summer",NA,NA,NA,NA,6,1,1,NA,NA,NA,NA,NA,NA,1,9,"June"
"73",2014-06-27,11.9,2014,"Summer",NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2,9,"June"
"74",2014-06-30,12.5,2014,"Summer",NA,NA,NA,NA,16,NA,1,NA,NA,NA,NA,NA,NA,5,22,"June"
"75",2014-07-03,12.5,2014,"Summer",NA,NA,NA,NA,15,2,NA,NA,NA,NA,NA,NA,NA,7,24,"July"
"76",2014-07-07,13.1,2014,"Summer",NA,NA,NA,NA,6,1,1,NA,NA,NA,NA,2,NA,6,16,"July"
"77",2014-07-09,13.5,2014,"Summer",NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,1,2,12,"July"
"78",2014-07-11,13.9,2014,"Summer",NA,NA,NA,NA,9,1,NA,NA,NA,NA,NA,NA,NA,9,19,"July"
"79",2014-07-14,14.3,2014,"Summer",NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,5,11,"July"
"80",2014-07-16,14.3,2014,"Summer",NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,NA,5,14,"July"
"81",2014-07-18,13.4,2014,"Summer",NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,16,21,"July"
"82",2014-07-21,13.2,2014,"Summer",NA,NA,NA,NA,6,1,NA,1,NA,1,NA,1,NA,15,25,"July"
"83",2014-07-23,13.3,2014,"Summer",NA,NA,NA,NA,11,NA,NA,NA,NA,1,NA,2,NA,5,19,"July"
"84",2014-07-25,13.4,2014,"Summer",NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,1,8,"July"
"85",2014-07-28,12.9,2014,"Summer",NA,NA,NA,NA,2,3,NA,NA,NA,1,NA,NA,NA,4,10,"July"
"86",2014-07-30,12.9,2014,"Summer",NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,1,5,"July"
"87",2014-08-01,12.8,2014,"Summer",NA,NA,NA,NA,4,NA,NA,NA,1,3,NA,NA,NA,1,9,"August"
"88",2014-08-04,12.9,2014,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,"August"
"89",2014-08-06,13.1,2014,"Summer",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,"August"
"90",2014-08-08,13.1,2014,"Summer",NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2,5,"August"
"91",2014-08-11,13.1,2014,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,3,"August"
"92",2014-08-13,13,2014,"Summer",NA,NA,NA,NA,2,2,NA,NA,NA,2,NA,NA,NA,NA,6,"August"
"93",2014-08-15,13.1,2014,"Summer",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,3,"August"
"94",2014-08-18,13.3,2014,"Summer",NA,NA,NA,NA,2,4,NA,NA,1,3,NA,NA,NA,5,15,"August"
"95",2014-08-20,13.1,2014,"Summer",NA,NA,NA,NA,1,1,NA,NA,2,5,NA,NA,NA,2,11,"August"
"96",2014-08-22,13,2014,"Summer",NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,2,7,"August"
"97",2014-08-25,13.7,2014,"Summer",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,3,"August"
"98",2014-08-27,13,2014,"Summer",NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,5,"August"
"99",2014-08-29,13.1,2014,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"August"
"100",2014-09-02,13.3,2014,"Summer",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"September"
"101",2014-09-03,13.2,2014,"Summer",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"September"
"102",2014-09-05,13.2,2014,"Summer",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"September"
"103",2014-09-08,13.1,2014,"Summer",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"September"
"104",2014-09-12,13.1,2014,"Summer",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,"September"
"105",2014-09-15,13,2014,"Summer",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"September"
"106",2014-09-18,13.1,2014,"Summer",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"September"
"107",2014-09-22,13.3,2014,"Fall",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13,"September"
"108",2014-09-24,13.2,2014,"Fall",6,1,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,11,"September"
"109",2014-09-26,13.3,2014,"Fall",12,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,16,"September"
"110",2014-09-29,13.3,2014,"Fall",19,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"September"
"111",2014-10-01,13.2,2014,"Fall",10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,8,24,"October"
"112",2014-10-03,13.2,2014,"Fall",17,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,27,"October"
"113",2014-10-06,13.2,2014,"Fall",10,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,20,"October"
"114",2014-10-08,13,2014,"Fall",24,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,29,"October"
"115",2014-10-10,13,2014,"Fall",24,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,33,"October"
"116",2014-10-13,12.9,2014,"Fall",34,1,1,1,NA,NA,NA,NA,NA,NA,NA,29,NA,10,76,"October"
"117",2014-10-15,12.9,2014,"Fall",19,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,28,"October"
"118",2014-10-17,12.7,2014,"Fall",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,5,40,"October"
"119",2014-10-20,12.4,2014,"Fall",29,2,2,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,6,82,"October"
"120",2014-10-22,12.5,2014,"Fall",45,4,3,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,10,94,"October"
"121",2014-10-24,12.3,2014,"Fall",36,1,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,12,62,"October"
"122",2014-10-27,12,2014,"Fall",58,4,1,NA,NA,NA,NA,NA,NA,NA,NA,70,1,9,143,"October"
"123",2014-10-29,11.9,2014,"Fall",87,2,2,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,9,131,"October"
"124",2014-10-31,11.8,2014,"Fall",39,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,41,1,6,88,"October"
"125",2014-11-03,11.6,2014,"Fall",21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,1,6,96,"November"
"126",2014-11-05,11.5,2014,"Fall",18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,5,57,"November"
"127",2014-11-07,11.5,2014,"Fall",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,7,73,"November"
"128",2014-11-10,11.7,2014,"Fall",38,2,3,NA,NA,NA,NA,NA,NA,NA,NA,107,1,11,162,"November"
"129",2014-11-11,11.4,2014,"Fall",26,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,59,"November"
"130",2014-11-12,11,2014,"Fall",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,69,"November"
"131",2014-11-17,9.6,2014,"Fall",39,3,1,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,5,228,"November"
"132",2014-11-18,9.4,2014,"Fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,17,"November"
"133",2014-11-19,9.4,2014,"Fall",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,42,"November"
"134",2014-11-21,9.3,2014,"Fall",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,53,"November"
"135",2014-11-24,9.4,2014,"Fall",34,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,107,NA,1,143,"November"
"136",2014-11-26,9.5,2014,"Fall",79,1,6,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,6,156,"November"
"137",2014-11-28,9.6,2014,"Fall",47,1,1,1,NA,NA,NA,NA,NA,NA,NA,53,NA,8,111,"November"
"138",2014-12-01,9.1,2014,"Fall",69,1,NA,1,NA,NA,NA,NA,NA,NA,NA,69,1,8,149,"December"
"139",2014-12-03,8.8,2014,"Fall",76,1,NA,1,NA,NA,NA,NA,NA,NA,NA,21,NA,4,103,"December"
"140",2014-12-05,8.6,2014,"Fall",42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,3,73,"December"
"141",2014-12-08,8.5,2014,"Fall",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,4,53,"December"
"142",2014-12-10,8.7,2014,"Fall",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,9,51,"December"
"143",2014-12-12,8.7,2014,"Fall",29,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,13,84,"December"
"144",2014-12-15,8.6,2014,"Fall",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,13,"December"
"145",2014-12-17,8.3,2014,"Fall",11,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,14,"December"
"146",2014-12-19,8.2,2014,"Fall",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,4,"December"
"147",2014-12-22,8.4,2014,"Winter",70,NA,4,1,NA,NA,NA,NA,NA,NA,NA,19,NA,22,116,"December"
"148",2014-12-24,8.3,2014,"Winter",119,5,2,2,NA,NA,NA,NA,NA,NA,NA,10,NA,22,160,"December"
"149",2014-12-26,7.9,2014,"Winter",60,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,10,76,"December"
"150",2014-12-29,7.6,2014,"Winter",67,4,2,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,16,95,"December"
"151",2014-12-31,7.2,2014,"Winter",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,4,31,"December"
"152",2015-01-02,6.5,2015,"Winter",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,5,24,"January"
"153",2015-01-05,6.8,2015,"Winter",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,51,"January"
"154",2015-01-07,6.8,2015,"Winter",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,12,90,"January"
"155",2015-01-09,6.7,2015,"Winter",49,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,60,"January"
"156",2015-01-12,6.8,2015,"Winter",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,10,59,"January"
"157",2015-01-14,7.1,2015,"Winter",29,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,9,42,"January"
"158",2015-01-16,7,2015,"Winter",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,55,"January"
"159",2015-01-19,7.2,2015,"Winter",84,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,93,"January"
"160",2015-01-22,7.5,2015,"Winter",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,30,124,"January"
"161",2015-01-23,7.3,2015,"Winter",19,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,26,"January"
"162",2015-01-26,7.1,2015,"Winter",36,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,13,55,"January"
"163",2015-01-28,7.4,2015,"Winter",41,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,54,"January"
"164",2015-01-30,7.3,2015,"Winter",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,50,"January"
"165",2015-02-02,7.1,2015,"Winter",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,51,"February"
"166",2015-02-04,7.3,2015,"Winter",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,55,"February"
"167",2015-02-06,7.6,2015,"Winter",54,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,72,"February"
"168",2015-02-09,7.8,2015,"Winter",70,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,105,"February"
"169",2015-02-11,7.5,2015,"Winter",84,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,100,"February"
"170",2015-02-13,7.6,2015,"Winter",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,33,"February"
"171",2015-02-16,7.7,2015,"Winter",36,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9,48,"February"
"172",2015-02-18,7.7,2015,"Winter",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,30,"February"
"173",2015-02-20,7.7,2015,"Winter",22,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,32,"February"
"174",2015-02-23,7.7,2015,"Winter",37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,48,"February"
"175",2015-02-25,7.4,2015,"Winter",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,33,"February"
"176",2015-02-27,7.7,2015,"Winter",15,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,22,"February"
"177",2015-03-02,7.8,2015,"Winter",32,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,5,40,"March"
"178",2015-03-04,7.4,2015,"Winter",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,17,"March"
"179",2015-03-06,7.5,2015,"Winter",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,22,"March"
"180",2015-03-09,8.1,2015,"Winter",34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,38,"March"
"181",2015-03-11,8.3,2015,"Winter",40,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,46,"March"
"182",2015-03-13,8.5,2015,"Winter",20,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,38,"March"
"183",2015-03-16,8.9,2015,"Winter",30,16,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,68,"March"
"184",2015-03-18,9.2,2015,"Winter",18,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,49,"March"
"185",2015-03-20,9,2015,"Spring",7,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,14,"March"
"186",2015-03-23,9.3,2015,"Spring",15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,48,"March"
"187",2015-03-25,9.5,2015,"Spring",19,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,33,"March"
"188",2015-03-27,9.8,2015,"Spring",13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,23,"March"
"189",2015-03-30,9.9,2015,"Spring",23,16,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,8,52,"March"
"190",2015-04-01,9.9,2015,"Spring",12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,21,"April"
"191",2015-04-03,10.1,2015,"Spring",4,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,24,"April"
"192",2015-04-06,9.9,2015,"Spring",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,"April"
"193",2015-04-08,10,2015,"Spring",3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,17,"April"
"194",2015-04-10,10,2015,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"April"
"195",2015-04-13,10.1,2015,"Spring",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,19,"April"
"196",2015-04-15,10.3,2015,"Spring",NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,"April"
"197",2015-04-17,10.5,2015,"Spring",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,"April"
"198",2015-04-20,10.7,2015,"Spring",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,"April"
"199",2015-04-22,10.7,2015,"Spring",NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,"April"
"200",2015-04-24,10.6,2015,"Spring",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,"April"
"201",2015-04-27,11.3,2015,"Spring",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,"April"
"202",2015-04-29,11.3,2015,"Spring",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,"April"
"203",2015-05-01,11.6,2015,"Spring",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,"May"
"204",2015-05-04,12.1,2015,"Spring",NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,10,15,"May"
"205",2015-05-06,11.9,2015,"Spring",1,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,4,11,"May"
