# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-18 16:24:10 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14076500 DESCHUTES RIVER NEAR CULVER, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14076500
#            TS   parameter     statistic     Description
#        113391       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        113392       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        113393       00010     00003     Temperature, water, degrees Celsius (Mean)
#        113394       00060     00003     Discharge, cubic feet per second (Mean)
#        218322       00011     00001     Temperature, water, degrees Fahrenheit (Maximum)
#        218323       00011     00002     Temperature, water, degrees Fahrenheit (Minimum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	113394_00060_00003	113394_00060_00003_cd	218322_00011_00001	218322_00011_00001_cd	218323_00011_00002	218323_00011_00002_cd
USGS	14076500	1952-10-03	585	A	55.0	A	54.0	A
USGS	14076500	1952-10-04	570	A	55.0	A	54.0	A
USGS	14076500	1952-10-05	564	A	55.0	A	53.0	A
USGS	14076500	1952-10-06	552	A	54.0	A	53.0	A
USGS	14076500	1952-10-07	530	A	54.0	A	53.0	A
USGS	14076500	1952-10-08	511	A	54.0	A	53.0	A
USGS	14076500	1952-10-09	516	A	54.0	A	53.0	A
USGS	14076500	1952-10-10	508	A	54.0	A	52.0	A
USGS	14076500	1952-10-11	516	A	53.0	A	52.0	A
USGS	14076500	1952-10-12	516	A	54.0	A	52.0	A
USGS	14076500	1952-10-13	514	A	53.0	A	52.0	A
USGS	14076500	1952-10-14	516	A	53.0	A	51.0	A
USGS	14076500	1952-10-15	535	A	52.0	A	51.0	A
USGS	14076500	1952-10-16	558	A	52.0	A	51.0	A
USGS	14076500	1952-10-17	606	A	52.0	A	51.0	A
USGS	14076500	1952-10-18	610	A	52.0	A	52.0	A
USGS	14076500	1952-10-19	599	A	53.0	A	52.0	A
USGS	14076500	1952-10-20	794	A	53.0	A	52.0	A
USGS	14076500	1952-10-21	884	A	53.0	A	52.0	A
USGS	14076500	1952-10-22	878	A	53.0	A	52.0	A
USGS	14076500	1952-10-23	812	A	52.0	A	51.0	A
USGS	14076500	1952-10-24	784	A	52.0	A	51.0	A
USGS	14076500	1952-10-25	767	A	52.0	A	50.0	A
USGS	14076500	1952-10-26	767	A	50.0	A	48.0	A
USGS	14076500	1952-10-27	767	A	49.0	A	48.0	A
USGS	14076500	1952-10-28	767	A	49.0	A	48.0	A
USGS	14076500	1952-10-29	789	A	49.0	A	49.0	A
USGS	14076500	1952-10-30	772	A	50.0	A	49.0	A
USGS	14076500	1952-10-31	745	A	50.0	A	49.0	A
USGS	14076500	1952-11-01	818	A	49.0	A	48.0	A
USGS	14076500	1952-11-02	1080	A	48.0	A	45.0	A
USGS	14076500	1952-11-03	830	A	46.0	A	45.0	A
USGS	14076500	1952-11-04	794	A	47.0	A	46.0	A
USGS	14076500	1952-11-05	818	A	47.0	A	47.0	A
USGS	14076500	1952-11-06	1050	A	47.0	A	45.0	A
USGS	14076500	1952-11-07	1190	A	45.0	A	44.0	A
USGS	14076500	1952-11-08	1190	A	46.0	A	46.0	A
USGS	14076500	1952-11-09	1200	A	46.0	A	45.0	A
USGS	14076500	1952-11-10	1200	A	45.0	A	43.0	A
USGS	14076500	1952-11-11	1200	A	45.0	A	45.0	A
USGS	14076500	1952-11-12	1200	A	45.0	A	45.0	A
USGS	14076500	1952-11-13	1210	A	45.0	A	45.0	A
USGS	14076500	1952-11-14	1220	A	45.0	A	44.0	A
USGS	14076500	1952-11-15	1220	A	44.0	A	43.0	A
USGS	14076500	1952-11-16	1210	A	43.0	A	42.0	A
USGS	14076500	1952-11-17	1180	A	42.0	A	42.0	A
USGS	14076500	1952-11-18	1190	A	42.0	A	41.0	A
USGS	14076500	1952-11-19	1190	A	42.0	A	42.0	A
USGS	14076500	1952-11-20	1180	A	42.0	A	42.0	A
USGS	14076500	1952-11-21	1160	A	42.0	A	42.0	A
USGS	14076500	1952-11-22	1120	A	42.0	A	41.0	A
USGS	14076500	1952-11-23	1120	A	41.0	A	39.0	A
USGS	14076500	1952-11-24	1120	A	39.0	A	39.0	A
USGS	14076500	1952-11-25	1160	A	39.0	A	39.0	A
USGS	14076500	1952-11-26	1160	A	39.0	A	39.0	A
USGS	14076500	1952-11-27	1150	A	39.0	A	39.0	A
USGS	14076500	1952-11-28	1150	A	39.0	A	39.0	A
USGS	14076500	1952-11-29	1150	A	39.0	A	39.0	A
USGS	14076500	1952-11-30	1130	A	39.0	A	39.0	A
USGS	14076500	1952-12-01	1190	A	39.0	A	39.0	A
USGS	14076500	1952-12-02	956	A	42.0	A	39.0	A
USGS	14076500	1952-12-03	700	A	44.0	A	42.0	A
USGS	14076500	1952-12-04	675	A	44.0	A	44.0	A
USGS	14076500	1952-12-05	641	A	45.0	A	44.0	A
USGS	14076500	1952-12-06	789	A	45.0	A	42.0	A
USGS	14076500	1952-12-07	1250	A	42.0	A	41.0	A
USGS	14076500	1952-12-08	1180	A	41.0	A	41.0	A
USGS	14076500	1952-12-09	1240	A	41.0	A	40.0	A
USGS	14076500	1952-12-10	1270	A	42.0	A	40.0	A
USGS	14076500	1952-12-11	1240	A	43.0	A	41.0	A
USGS	14076500	1952-12-12	1260	A	44.0	A	43.0	A
USGS	14076500	1952-12-13	1200	A	44.0	A	43.0	A
USGS	14076500	1952-12-14	1170	A	43.0	A	43.0	A
USGS	14076500	1952-12-15	1170	A	43.0	A	42.0	A
USGS	14076500	1952-12-16	1200	A	41.0	A	41.0	A
USGS	14076500	1952-12-17	1240	A	41.0	A	41.0	A
USGS	14076500	1952-12-18	1240	A	41.0	A	41.0	A
USGS	14076500	1952-12-19	1220	A	41.0	A	41.0	A
USGS	14076500	1952-12-20	1230	A	41.0	A	41.0	A
USGS	14076500	1952-12-21	1220	A	41.0	A	41.0	A
USGS	14076500	1952-12-22	1220	A	41.0	A	41.0	A
USGS	14076500	1952-12-23	1200	A	41.0	A	40.0	A
USGS	14076500	1952-12-24	1190	A	40.0	A	40.0	A
USGS	14076500	1952-12-25	1180	A	40.0	A	39.0	A
USGS	14076500	1952-12-26	1210	A	39.0	A	39.0	A
USGS	14076500	1952-12-27	1220	A	39.0	A	39.0	A
USGS	14076500	1952-12-28	1220	A	39.0	A	39.0	A
USGS	14076500	1952-12-29	1250	A	41.0	A	39.0	A
USGS	14076500	1952-12-30	944	A	43.0	A	41.0	A
USGS	14076500	1952-12-31	691	A	44.0	A	43.0	A
USGS	14076500	1953-01-01	659	A	44.0	A	44.0	A
USGS	14076500	1953-01-02	687	A	45.0	A	44.0	A
USGS	14076500	1953-01-03	691	A	45.0	A	44.0	A
USGS	14076500	1953-01-04	1020	A	45.0	A	43.0	A
USGS	14076500	1953-01-05	1090	A	43.0	A	43.0	A
USGS	14076500	1953-01-06	1160	A	43.0	A	43.0	A
USGS	14076500	1953-01-07	1220	A	43.0	A	43.0	A
USGS	14076500	1953-01-08	1260	A	45.0	A	43.0	A
USGS	14076500	1953-01-09	1450	A	43.0	A	44.0	A
USGS	14076500	1953-01-10	1470	A	44.0	A	42.0	A
USGS	14076500	1953-01-11	1440	A	45.0	A	43.0	A
USGS	14076500	1953-01-12	1420	A	45.0	A	45.0	A
USGS	14076500	1953-01-13	1510	A	45.0	A	44.0	A
USGS	14076500	1953-01-14	1490	A	44.0	A	43.0	A
USGS	14076500	1953-01-15	1440	A	43.0	A	42.0	A
USGS	14076500	1953-01-16	1430	A	43.0	A	43.0	A
USGS	14076500	1953-01-17	1470	A	44.0	A	43.0	A
USGS	14076500	1953-01-18	1720	A	44.0	A	44.0	A
USGS	14076500	1953-01-19	1930	A	44.0	A	42.0	A
USGS	14076500	1953-01-20	1780	A	43.0	A	43.0	A
USGS	14076500	1953-01-21	1750	A	43.0	A	42.0	A
USGS	14076500	1953-01-22	1710	A	43.0	A	42.0	A
USGS	14076500	1953-01-23	1660	A	43.0	A	43.0	A
USGS	14076500	1953-01-24	1280	A	44.0	A	43.0	A
USGS	14076500	1953-01-25	1250	A	44.0	A	43.0	A
USGS	14076500	1953-01-26	1220	A	43.0	A	42.0	A
USGS	14076500	1953-01-27	1200	A	42.0	A	41.0	A
USGS	14076500	1953-01-28	1470	A	42.0	A	40.0	A
USGS	14076500	1953-01-29	1510	A	44.0	A	42.0	A
USGS	14076500	1953-01-30	1500	A	44.0	A	43.0	A
USGS	14076500	1953-01-31	1540	A	42.0	A	44.0	A
USGS	14076500	1953-02-01	1570	A	45.0	A	44.0	A
USGS	14076500	1953-02-02	1580	A	44.0	A	44.0	A
USGS	14076500	1953-02-03	1870	A	44.0	A	44.0	A
USGS	14076500	1953-02-04	1900	A	44.0	A	43.0	A
USGS	14076500	1953-02-05	1860	A	44.0	A	43.0	A
USGS	14076500	1953-02-06	1890	A	44.0	A	43.0	A
USGS	14076500	1953-02-07	1940	A	44.0	A	44.0	A
USGS	14076500	1953-02-08	1970	A	44.0	A	42.0	A
USGS	14076500	1953-02-09	1960	A	43.0	A	40.0	A
USGS	14076500	1953-02-10	1950	A	41.0	A	40.0	A
USGS	14076500	1953-02-11	1900	A	41.0	A	40.0	A
USGS	14076500	1953-02-12	1890	A	41.0	A	41.0	A
USGS	14076500	1953-02-13	1870	A	43.0	A	41.0	A
USGS	14076500	1953-02-14	1800	A	43.0	A	43.0	A
USGS	14076500	1953-02-15	1760	A	43.0	A	41.0	A
USGS	14076500	1953-02-16	1710	A	43.0	A	41.0	A
USGS	14076500	1953-02-17	1730	A	43.0	A	41.0	A
USGS	14076500	1953-02-18	1700	A	41.0	A	40.0	A
USGS	14076500	1953-02-19	1610	A	41.0	A	39.0	A
USGS	14076500	1953-02-20	1580	A	41.0	A	40.0	A
USGS	14076500	1953-02-21	1620	A	41.0	A	40.0	A
USGS	14076500	1953-02-22	1740	A	41.0	A	41.0	A
USGS	14076500	1953-02-23	1740	A	41.0	A	40.0	A
USGS	14076500	1953-02-24	1710	A	42.0	A	40.0	A
USGS	14076500	1953-02-25	1710	A	42.0	A	40.0	A
USGS	14076500	1953-02-26	1650	A	44.0	A	41.0	A
USGS	14076500	1953-02-27	1330	A	46.0	A	43.0	A
USGS	14076500	1953-02-28	1300	A	46.0	A	45.0	A
USGS	14076500	1953-03-01	1270	A	45.0	A	43.0	A
USGS	14076500	1953-03-02	1280	A	43.0	A	41.0	A
USGS	14076500	1953-03-03	1440	A	44.0	A	41.0	A
USGS	14076500	1953-03-04	1520	A	45.0	A	43.0	A
USGS	14076500	1953-03-05	1510	A	45.0	A	44.0	A
USGS	14076500	1953-03-06	1510	A	47.0	A	44.0	A
USGS	14076500	1953-03-07	1530	A	48.0	A	45.0	A
USGS	14076500	1953-03-08	1430	A	49.0	A	46.0	A
USGS	14076500	1953-03-09	1530	A	49.0	A	47.0	A
USGS	14076500	1953-03-10	1560	A	49.0	A	47.0	A
USGS	14076500	1953-03-11	1450	A	47.0	A	47.0	A
USGS	14076500	1953-03-12	1400	A	47.0	A	46.0	A
USGS	14076500	1953-03-13	1420	A	47.0	A	44.0	A
USGS	14076500	1953-03-14	1390	A	45.0	A	43.0	A
USGS	14076500	1953-03-15	1380	A	45.0	A	44.0	A
USGS	14076500	1953-03-16	1530	A	46.0	A	45.0	A
USGS	14076500	1953-03-17	1560	A	45.0	A	43.0	A
USGS	14076500	1953-03-18	1570	A	45.0	A	44.0	A
USGS	14076500	1953-03-19	1570	A	45.0	A	45.0	A
USGS	14076500	1953-03-20	1620	A	45.0	A	43.0	A
USGS	14076500	1953-03-21	1610	A	45.0	A	43.0	A
USGS	14076500	1953-03-22	1570	A	45.0	A	44.0	A
USGS	14076500	1953-03-23	1580	A	48.0	A	45.0	A
USGS	14076500	1953-03-24	1580	A	49.0	A	48.0	A
USGS	14076500	1953-03-25	1600	A	49.0	A	46.0	A
USGS	14076500	1953-03-26	1600	A	48.0	A	46.0	A
USGS	14076500	1953-03-27	1590	A	49.0	A	47.0	A
USGS	14076500	1953-03-28	1590	A	49.0	A	49.0	A
USGS	14076500	1953-03-29	1630	A	49.0	A	46.0	A
USGS	14076500	1953-03-30	1780	A	48.0	A	47.0	A
USGS	14076500	1953-03-31	1790	A	48.0	A	45.0	A
USGS	14076500	1953-04-01	1840	A	48.0	A	46.0	A
USGS	14076500	1953-04-02	1440	A	49.0	A	46.0	A
USGS	14076500	1953-04-03	1440	A	50.0	A	48.0	A
USGS	14076500	1953-04-04	1340	A	50.0	A	49.0	A
USGS	14076500	1953-04-05	1360	A	51.0	A	49.0	A
USGS	14076500	1953-04-06	1250	A	51.0	A	48.0	A
USGS	14076500	1953-04-07	1220	A	49.0	A	47.0	A
USGS	14076500	1953-04-08	1190	A	48.0	A	46.0	A
USGS	14076500	1953-04-09	1200	A	48.0	A	46.0	A
USGS	14076500	1953-04-10	1190	A	48.0	A	46.0	A
USGS	14076500	1953-04-11	1130	A	48.0	A	47.0	A
USGS	14076500	1953-04-12	1020	A	48.0	A	47.0	A
USGS	14076500	1953-04-13	920	A	49.0	A	47.0	A
USGS	14076500	1953-04-14	866	A	50.0	A	48.0	A
USGS	14076500	1953-04-15	745	A	50.0	A	48.0	A
USGS	14076500	1953-04-16	665	A	51.0	A	50.0	A
USGS	14076500	1953-04-17	616	A	53.0	A	50.0	A
USGS	14076500	1953-04-18	613	A	53.0	A	51.0	A
USGS	14076500	1953-04-19	592	A	54.0	A	53.0	A
USGS	14076500	1953-04-20	573	A	56.0	A	53.0	A
USGS	14076500	1953-04-21	522	A	56.0	A	54.0	A
USGS	14076500	1953-04-22	533	A	55.0	A	53.0	A
USGS	14076500	1953-04-23	519	A	55.0	A	52.0	A
USGS	14076500	1953-04-24	505	A	55.0	A	52.0	A
USGS	14076500	1953-04-25	514	A	54.0	A	53.0	A
USGS	14076500	1953-04-26	576	A	54.0	A	54.0	A
USGS	14076500	1953-04-27	599	A	54.0	A	53.0	A
USGS	14076500	1953-04-28	616	A	53.0	A	51.0	A
USGS	14076500	1953-04-29	613	A	53.0	A	51.0	A
USGS	14076500	1953-04-30	675	A	53.0	A	50.0	A
USGS	14076500	1953-05-01	683	A	52.0	A	51.0	A
USGS	14076500	1953-05-02	624	A	53.0	A	51.0	A
USGS	14076500	1953-05-03	638	A	55.0	A	53.0	A
USGS	14076500	1953-05-04	624	A	57.0	A	55.0	A
USGS	14076500	1953-05-05	613	A	58.0	A	55.0	A
USGS	14076500	1953-05-06	567	A	57.0	A	55.0	A
USGS	14076500	1953-05-07	549	A	55.0	A	54.0	A
USGS	14076500	1953-05-08	573	A	55.0	A	53.0	A
USGS	14076500	1953-05-09	544	A	54.0	A	53.0	A
USGS	14076500	1953-05-10	514	A	55.0	A	52.0	A
USGS	14076500	1953-05-11	555	A	56.0	A	52.0	A
USGS	14076500	1953-05-12	564	A	56.0	A	53.0	A
USGS	14076500	1953-05-13	585	A	56.0	A	54.0	A
USGS	14076500	1953-05-14	634	A	56.0	A	55.0	A
USGS	14076500	1953-05-15	767	A	56.0	A	55.0	A
USGS	14076500	1953-05-16	806	A	58.0	A	55.0	A
USGS	14076500	1953-05-17	784	A	58.0	A	56.0	A
USGS	14076500	1953-05-18	687	A	58.0	A	57.0	A
USGS	14076500	1953-05-19	745	A	57.0	A	55.0	A
USGS	14076500	1953-05-20	848	A	55.0	A	53.0	A
USGS	14076500	1953-05-21	762	A	54.0	A	53.0	A
USGS	14076500	1953-05-22	695	A	54.0	A	53.0	A
USGS	14076500	1953-05-23	745	A	54.0	A	53.0	A
USGS	14076500	1953-05-24	842	A	54.0	A	51.0	A
USGS	14076500	1953-05-25	962	A	54.0	A	53.0	A
USGS	14076500	1953-05-26	1220	A	53.0	A	51.0	A
USGS	14076500	1953-05-27	1310	A	53.0	A	51.0	A
USGS	14076500	1953-05-28	1340	A	56.0	A	53.0	A
USGS	14076500	1953-05-29	1280	A	57.0	A	55.0	A
USGS	14076500	1953-05-30	1130	A	57.0	A	55.0	A
USGS	14076500	1953-05-31	1070	A	57.0	A	55.0	A
USGS	14076500	1953-06-01	1070	A	57.0	A	56.0	A
USGS	14076500	1953-06-02	968	A	57.0	A	55.0	A
USGS	14076500	1953-06-03	896	A	57.0	A	55.0	A
USGS	14076500	1953-06-04	854	A	57.0	A	55.0	A
USGS	14076500	1953-06-05	794	A	55.0	A	54.0	A
USGS	14076500	1953-06-06	772	A	56.0	A	55.0	A
USGS	14076500	1953-06-07	908	A	57.0	A	55.0	A
USGS	14076500	1953-06-08	944	A	57.0	A	53.0	A
USGS	14076500	1953-06-09	926	A	55.0	A	54.0	A
USGS	14076500	1953-06-10	950	A	58.0	A	54.0	A
USGS	14076500	1953-06-11	950	A	58.0	A	57.0	A
USGS	14076500	1953-06-12	1060	A	58.0	A	55.0	A
USGS	14076500	1953-06-13	1120	A	57.0	A	53.0	A
USGS	14076500	1953-06-14	1190	A	59.0	A	56.0	A
USGS	14076500	1953-06-15	1230	A	59.0	A	57.0	A
USGS	14076500	1953-06-16	1120	A	59.0	A	56.0	A
USGS	14076500	1953-06-17	974	A	60.0	A	57.0	A
USGS	14076500	1953-06-18	806	A	60.0	A	56.0	A
USGS	14076500	1953-06-19	745	A	58.0	A	56.0	A
USGS	14076500	1953-06-20	710	A	57.0	A	55.0	A
USGS	14076500	1953-06-21	725	A	58.0	A	55.0	A
USGS	14076500	1953-06-22	740	A	59.0	A	57.0	A
USGS	14076500	1953-06-23	652	A	59.0	A	56.0	A
USGS	14076500	1953-06-24	602	A	58.0	A	55.0	A
USGS	14076500	1953-06-25	585	A	58.0	A	56.0	A
USGS	14076500	1953-06-26	564	A	58.0	A	56.0	A
USGS	14076500	1953-06-27	606	A	58.0	A	57.0	A
USGS	14076500	1953-06-28	630	A	58.0	A	57.0	A
USGS	14076500	1953-06-29	652	A	58.0	A	57.0	A
USGS	14076500	1953-06-30	663	A	59.0	A	57.0	A
USGS	14076500	1953-07-01	687	A	59.0	A	57.0	A
USGS	14076500	1953-07-02	695	A	61.0	A	58.0	A
USGS	14076500	1953-07-03	730	A	62.0	A	59.0	A
USGS	14076500	1953-07-04	778	A	62.0	A	58.0	A
USGS	14076500	1953-07-05	818	A	62.0	A	59.0	A
USGS	14076500	1953-07-06	842	A	63.0	A	60.0	A
USGS	14076500	1953-07-07	812	A	63.0	A	60.0	A
USGS	14076500	1953-07-08	762	A	63.0	A	60.0	A
USGS	14076500	1953-07-09	720	A	62.0	A	59.0	A
USGS	14076500	1953-07-10	667	A	61.0	A	59.0	A
USGS	14076500	1953-07-11	675	A	63.0	A	59.0	A
USGS	14076500	1953-07-12	705	A	63.0	A	60.0	A
USGS	14076500	1953-07-13	735	A	62.0	A	59.0	A
USGS	14076500	1953-07-14	824	A	62.0	A	59.0	A
USGS	14076500	1953-07-15	890	A	61.0	A	58.0	A
USGS	14076500	1953-07-16	705	A	60.0	A	58.0	A
USGS	14076500	1953-07-17	616	A	60.0	A	56.0	A
USGS	14076500	1953-07-18	627	A	61.0	A	58.0	A
USGS	14076500	1953-07-19	638	A	61.0	A	58.0	A
USGS	14076500	1953-07-20	630	A	61.0	A	57.0	A
USGS	14076500	1953-07-21	561	A	59.0	A	57.0	A
USGS	14076500	1953-07-22	555	A	60.0	A	57.0	A
USGS	14076500	1953-07-23	549	A	59.0	A	57.0	A
USGS	14076500	1953-07-24	527	A	59.0	A	55.0	A
USGS	14076500	1953-07-25	514	A	58.0	A	55.0	A
USGS	14076500	1953-07-26	530	A	59.0	A	55.0	A
USGS	14076500	1953-07-27	538	A	60.0	A	56.0	A
USGS	14076500	1953-07-28	544	A	60.0	A	57.0	A
USGS	14076500	1953-07-29	538	A	60.0	A	57.0	A
USGS	14076500	1953-07-30	530	A	60.0	A	57.0	A
USGS	14076500	1953-07-31	535	A	59.0	A	56.0	A
USGS	14076500	1953-08-01	555	A	59.0	A	56.0	A
USGS	14076500	1953-08-02	582	A	59.0	A	57.0	A
USGS	14076500	1953-08-03	585	A	57.0	A	56.0	A
USGS	14076500	1953-08-04	602	A	58.0	A	57.0	A
USGS	14076500	1953-08-05	659	A	59.0	A	56.0	A
USGS	14076500	1953-08-06	740	A	60.0	A	58.0	A
USGS	14076500	1953-08-07	824	A	61.0	A	59.0	A
USGS	14076500	1953-08-08	818	A	61.0	A	58.0	A
USGS	14076500	1953-08-09	767	A	60.0	A	58.0	A
USGS	14076500	1953-08-10	725	A	60.0	A	57.0	A
USGS	14076500	1953-08-11	695	A	60.0	A	57.0	A
USGS	14076500	1953-08-12	691	A	61.0	A	58.0	A
USGS	14076500	1953-08-13	683	A	61.0	A	58.0	A
USGS	14076500	1953-08-14	616	A	60.0	A	58.0	A
USGS	14076500	1953-08-15	610	A	59.0	A	58.0	A
USGS	14076500	1953-08-16	624	A	59.0	A	57.0	A
USGS	14076500	1953-08-17	616	A	59.0	A	57.0	A
USGS	14076500	1953-08-18	606	A	60.0	A	57.0	A
USGS	14076500	1953-08-19	599	A	60.0	A	58.0	A
USGS	14076500	1953-08-20	606	A	59.0	A	58.0	A
USGS	14076500	1953-08-21	610	A	58.0	A	57.0	A
USGS	14076500	1953-08-22	624	A	58.0	A	57.0	A
USGS	14076500	1953-08-23	705	A	59.0	A	57.0	A
USGS	14076500	1953-08-24	679	A	59.0	A	56.0	A
USGS	14076500	1953-08-25	671	A	56.0	A	56.0	A
USGS	14076500	1953-08-26	800	A	57.0	A	56.0	A
USGS	14076500	1953-08-27	1050	A	57.0	A	56.0	A
USGS	14076500	1953-08-28	1070	A	57.0	A	56.0	A
USGS	14076500	1953-08-29	1160	A	58.0	A	55.0	A
USGS	14076500	1953-08-30	1200	A	58.0	A	56.0	A
USGS	14076500	1953-08-31	1190	A	59.0	A	57.0	A
USGS	14076500	1953-09-01	1220	A	60.0	A	58.0	A
USGS	14076500	1953-09-02	1190	A	60.0	A	59.0	A
USGS	14076500	1953-09-03	1070	A	60.0	A	58.0	A
USGS	14076500	1953-09-04	950	A	59.0	A	57.0	A
USGS	14076500	1953-09-05	890	A	60.0	A	57.0	A
USGS	14076500	1953-09-06	872	A	61.0	A	59.0	A
USGS	14076500	1953-09-07	854	A	61.0	A	59.0	A
USGS	14076500	1953-09-08	830	A	60.0	A	58.0	A
USGS	14076500	1953-09-09	789	A	59.0	A	57.0	A
USGS	14076500	1953-09-10	740	A	59.0	A	57.0	A
USGS	14076500	1953-09-11	627	A	59.0	A	57.0	A
USGS	14076500	1953-09-12	613	A	59.0	A	57.0	A
USGS	14076500	1953-09-13	675	A	59.0	A	57.0	A
USGS	14076500	1953-09-14	683	A	59.0	A	58.0	A
USGS	14076500	1953-09-15	683	A	59.0	A	58.0	A
USGS	14076500	1953-09-16	679	A	59.0	A	57.0	A
USGS	14076500	1953-09-17	667	A	58.0	A	56.0	A
USGS	14076500	1953-09-18	667	A	57.0	A	56.0	A
USGS	14076500	1953-09-19	659	A	58.0	A	56.0	A
USGS	14076500	1953-09-20	627	A	58.0	A	56.0	A
USGS	14076500	1953-09-21	616	A	56.0	A	55.0	A
USGS	14076500	1953-09-22	652	A	56.0	A	56.0	A
USGS	14076500	1953-09-23	812	A	56.0	A	56.0	A
USGS	14076500	1953-09-24	740	A	57.0	A	55.0	A
USGS	14076500	1953-09-25	750	A	56.0	A	54.0	A
USGS	14076500	1953-09-26	762	A	55.0	A	54.0	A
USGS	14076500	1953-09-27	778	A	56.0	A	55.0	A
USGS	14076500	1953-09-28	767	A	56.0	A	55.0	A
USGS	14076500	1953-09-29	778	A	55.0	A	54.0	A
USGS	14076500	1953-09-30	812	A	55.0	A	54.0	A
USGS	14076500	1953-10-01	872	A	54.0	A	54.0	A
USGS	14076500	1953-10-02	902	A	54.0	A	52.0	A
USGS	14076500	1953-10-03	794	A	53.0	A	52.0	A
