Date_time,Year,Month,Season,Fall Chinook,Hatchery Summer Steelhead,Wild Summer Steelhead
2012-09-01,2012,September,Summer,94,417,158
2012-10-01,2012,October,Fall,201,289,113
2013-06-01,2013,June,Spring,0,NA,NA
2013-07-01,2013,July,Summer,4,9,8
2013-08-01,2013,August,Summer,19,34,22
2013-09-01,2013,September,Summer,403,495,183
2013-10-01,2013,October,Fall,606,243,130
2014-06-01,2014,June,Spring,NA,NA,NA
2014-07-01,2014,July,Summer,1,17,9
2014-08-01,2014,August,Summer,22,49,26
2014-09-01,2014,September,Summer,279,439,190
2014-10-01,2014,October,Fall,711,487,305
2015-06-01,2015,June,Spring,0,6,1
2015-07-01,2015,July,Summer,2,21,12
2015-08-01,2015,August,Summer,66,131,41
2015-09-01,2015,September,Summer,328,738,170
2015-10-01,2015,October,Fall,606,474,152
2016-06-01,2016,June,Spring,0,0,0
2016-07-01,2016,July,Summer,0,5,1
2016-08-01,2016,August,Summer,6,37,6
2016-09-01,2016,September,Summer,157,385,59
2016-10-01,2016,October,Fall,203,113,39
2017-06-01,2017,June,Spring,NA,NA,NA
2017-07-01,2017,July,Summer,0,0,0
2017-08-01,2017,August,Summer,0,0,0
2017-09-01,2017,September,Summer,0,0,0
2017-10-01,2017,October,Fall,0,0,0
2018-06-01,2018,June,Spring,NA,NA,NA
2018-07-01,2018,July,Summer,0,9,3
2018-08-01,2018,August,Summer,5,21,6
2018-09-01,2018,September,Summer,74,215,39
2018-10-01,2018,October,Fall,160,192,76
2019-06-01,2019,June,Spring,NA,NA,NA
2019-07-01,2019,July,Summer,0,10,3
2019-08-01,2019,August,Summer,4,12,8
2019-09-01,2019,September,Summer,50,111,53
2019-10-01,2019,October,Fall,216,163,112
