Organization ID,Activity ID,Monitoring Location ID,Monitoring Location Name,Monitoring Location State,Monitoring Location Latitude,Monitoring Location Longitude,Monitoring Location Type,Activity Type,Activity Start Date,Activity Start Time,Project ID1,Project ID2,Project ID3,Activity Conducting Organization1,Relative Depth,Depth/Height,Depth/Height Unit,Top Depth/Height,Top Depth/Height Unit,Bottom Depth/Height,Bottom Depth/Height Measure Unit,Activity Media,Activity Comment,Sample Collection Method ID,Sample Collection Method Context,Sample Collection Method Name,Data Logger Line,Result Status,CAS #,Characteristic Name,Method Speciation,Sample Fraction,Result Value Type,Result Value,Result Unit,Laboratory Comment Code,Result Qualifier,Detection Condition,Detection Limit Type1,Detection Limit Value1,Detection Limit Unit1,Detection Limit Type2,Detection Limit Value2,Detection Limit Unit2,Result Comment,Precision,Bias,Confidence Interval,Upper Confidence Limit,Lower Confidence Limit,Substance Dilution Factor1,Analytical Method ID,Analytical Method Context,Analytical Method Name,Laboratory Name,Analysis Start Date
OREGONDEQ,19450001-6564-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,10-08-1962,12:00:01 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,pH,,,Actual,8.4,None,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6564,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,10-08-1962,12:00:01 AM,Historical LASAR Data,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Total Coliform,,,Actual,620,cfu/100ml,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6758,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,01-07-1963,10:45:00 AM,Historical LASAR Data,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Total Coliform,,,Actual,230,cfu/100ml,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6758-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,01-07-1963,10:45:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,pH,,,Actual,7.6,None,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6758-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,01-07-1963,10:45:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Dissolved oxygen saturation,,,Actual,95,%,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6758-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,01-07-1963,10:45:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,"Temperature, water",,,Actual,5,deg C,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6758-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,01-07-1963,10:45:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Dissolved oxygen (DO),,,Actual,12.1,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6758-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,01-07-1963,10:45:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,"Biochemical oxygen demand, non-standard conditions",,,Actual,1.9,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6929-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,04-16-1963,10:00:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,"Temperature, water",,,Actual,9,deg C,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6929,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,04-16-1963,10:00:00 AM,Historical LASAR Data,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Total Coliform,,,Actual,60,cfu/100ml,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6929-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,04-16-1963,10:00:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,pH,,,Actual,8.2,None,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6929-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,04-16-1963,10:00:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,"Biochemical oxygen demand, non-standard conditions",,,Actual,1.3,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6929-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,04-16-1963,10:00:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Dissolved oxygen (DO),,,Actual,11.7,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-6929-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,04-16-1963,10:00:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Dissolved oxygen saturation,,,Actual,101,%,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-7168-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,07-09-1963,10:00:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Dissolved oxygen (DO),,,Actual,10.3,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-7168-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,07-09-1963,10:00:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,pH,,,Actual,8.2,None,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-7168-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,07-09-1963,10:00:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,"Temperature, water",,,Actual,17,deg C,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-7168,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,07-09-1963,10:00:00 AM,Historical LASAR Data,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Total Coliform,,,Actual,60,cfu/100ml,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-7168-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,07-09-1963,10:00:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,"Biochemical oxygen demand, non-standard conditions",,,Actual,1.1,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-7168-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,07-09-1963,10:00:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Dissolved oxygen saturation,,,Actual,106,%,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-7168-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,07-09-1963,10:00:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Total solids,,,Actual,124,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-7168-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,07-09-1963,10:00:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,7664-41-7,Ammonia,as N,Total,Calculated,0.082,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-7818,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,01-07-1964,10:30:00 AM,Historical LASAR Data,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Total Coliform,,,Actual,230,cfu/100ml,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-7818-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,01-07-1964,10:30:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Total solids,,,Actual,162,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-7818-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,01-07-1964,10:30:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Dissolved oxygen saturation,,,Actual,102,%,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-7818-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,01-07-1964,10:30:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,"Biochemical oxygen demand, non-standard conditions",,,Actual,1.5,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-7818-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,01-07-1964,10:30:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,pH,,,Actual,8,None,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-7818-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,01-07-1964,10:30:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,"Temperature, water",,,Actual,6,deg C,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-7818-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,01-07-1964,10:30:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,7664-41-7,Ammonia,as N,Total,Calculated,0.01,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-7818-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,01-07-1964,10:30:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Dissolved oxygen (DO),,,Actual,12.8,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-8146-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,06-09-1964,9:30:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,pH,,,Actual,8,None,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-8146-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,06-09-1964,9:30:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,"Temperature, water",,,Actual,15,deg C,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-8146-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,06-09-1964,9:30:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,7664-41-7,Ammonia,as N,Total,Calculated,0.008,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-8146,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,06-09-1964,9:30:00 AM,Historical LASAR Data,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Total Coliform,,,Actual,<45,cfu/100ml,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-8146-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,06-09-1964,9:30:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,"Biochemical oxygen demand, non-standard conditions",,,Actual,0.7,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-8146-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,06-09-1964,9:30:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Dissolved oxygen saturation,,,Actual,106,%,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-8146-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,06-09-1964,9:30:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Dissolved oxygen (DO),,,Actual,10.8,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-8146-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,06-09-1964,9:30:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Total solids,,,Actual,122,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-8720-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,08-19-1964,2:30:00 PM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,"Temperature, water",,,Actual,19,deg C,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-8720-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,08-19-1964,2:30:00 PM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Total solids,,,Actual,126,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-8720-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,08-19-1964,2:30:00 PM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Dissolved oxygen (DO),,,Actual,9.7,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-8720-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,08-19-1964,2:30:00 PM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Dissolved oxygen saturation,,,Actual,103,%,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-8720,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,08-19-1964,2:30:00 PM,Historical LASAR Data,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,Total Coliform,,,Actual,230,cfu/100ml,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-8720-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,08-19-1964,2:30:00 PM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,7664-41-7,Ammonia,as N,Total,Calculated,0.055,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-8720-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,08-19-1964,2:30:00 PM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,"Biochemical oxygen demand, non-standard conditions",,,Actual,0.4,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-8720-FM-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Field Msr/Obs,08-19-1964,2:30:00 PM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,pH,,,Actual,8.4,None,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-9147-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,11-09-1964,10:25:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,7664-41-7,Ammonia,as N,Total,Calculated,0.008,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
OREGONDEQ,19450001-9147-AMB,10411-ORDEQ,Deschutes River at Deschutes River Park,Oregon,45.63251478,-120.9125077,River/Stream,Sample-Routine,11-09-1964,10:25:00 AM,Surface Water Ambient,,,,,,,,,,,Water,,Grab,OREGONDEQ,Grab,,Final,,"Biochemical oxygen demand, non-standard conditions",,,Actual,1.9,mg/l,,DQL=A,,,,,,,,NULL,,,,,,,Not Available,OREGONDEQ,Not Available,Laboratory Unknown,
